,precision,recall,f1-score,support
Basal-like,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
HER2-enriched,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Luminal A,0.9259259259259259,0.9615384615384616,0.9433962264150944,78.0
Luminal B,0.896551724137931,0.8125,0.8524590163934426,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9294117647058824,0.9294117647058824,0.9294117647058824,0.9294117647058824
macro avg,0.9334104860245016,0.9148076923076923,0.9232480264661979,170.0
weighted avg,0.9287381437221129,0.9294117647058824,0.9283703938682212,170.0
