,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,29.0
HER2-enriched,1.0,0.9230769230769231,0.96,13.0
Luminal A,0.9259259259259259,0.9615384615384616,0.9433962264150944,78.0
Luminal B,0.8709677419354839,0.8709677419354839,0.8709677419354839,31.0
Solid Tissue Normal,1.0,0.8888888888888888,0.9411764705882353,18.0
accuracy,0.9408284023668639,0.9408284023668639,0.9408284023668639,0.9408284023668639
macro avg,0.9593787335722819,0.9288944030879515,0.9431080877877628,169.0
weighted avg,0.9421433267587114,0.9408284023668639,0.9408643913074887,169.0
