,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
Luminal A,0.9012345679012346,0.948051948051948,0.9240506329113924,77.0
Luminal B,0.78125,0.78125,0.78125,32.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9078230784547989,0.8578262015762016,0.8775216977979481,170.0
weighted avg,0.8998992667556867,0.9,0.897649148210285,170.0
