,precision,recall,f1-score,support
Basal-like,1.0,0.9310344827586207,0.9642857142857143,29.0
HER2-enriched,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Luminal A,0.925,0.9487179487179487,0.9367088607594937,78.0
Luminal B,0.7575757575757576,0.8064516129032258,0.78125,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9112426035502958,0.9112426035502958,0.9112426035502958,0.9112426035502958
macro avg,0.9183333333333333,0.8910869627221129,0.9031155816757082,169.0
weighted avg,0.9139232562309485,0.9112426035502958,0.9117139656027192,169.0
