,precision,recall,f1-score,support
Basal-like,0.9375,1.0,0.967741935483871,30.0
HER2-enriched,1.0,0.6923076923076923,0.8181818181818182,13.0
Luminal A,0.948051948051948,0.948051948051948,0.948051948051948,77.0
Luminal B,0.8285714285714286,0.90625,0.8656716417910447,32.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9294117647058824,0.9294117647058824,0.9294117647058824,0.9294117647058824
macro avg,0.9428246753246754,0.898210816960817,0.9142151829874507,170.0
weighted avg,0.933172268907563,0.9294117647058824,0.9285636971994559,170.0
