fold,accuracy,f1_score
1,0.9294117647058824,0.9285636971994559
2,0.9,0.897649148210285
3,0.9294117647058824,0.9283703938682212
4,0.9112426035502958,0.9117139656027192
5,0.9408284023668639,0.9408643913074887
