,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Luminal A,0.925,0.961038961038961,0.9426751592356688,77.0
Luminal B,0.8709677419354839,0.84375,0.8571428571428571,32.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9294117647058824,0.9294117647058824,0.9294117647058824,0.9294117647058824
macro avg,0.9345601173020528,0.9036928349428349,0.9176372957034958,170.0
weighted avg,0.9290965154390203,0.9294117647058824,0.9284811942945707,170.0
