,precision,recall,f1-score,support
Basal-like,1.0,0.9666666666666667,0.9830508474576272,30.0
HER2-enriched,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Luminal A,0.9358974358974359,0.9358974358974359,0.9358974358974359,78.0
Luminal B,0.8387096774193549,0.8125,0.8253968253968254,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9235294117647059,0.9235294117647059,0.9235294117647059,0.9235294117647059
macro avg,0.9120642798062153,0.9263461538461538,0.9180997909811468,170.0
weighted avg,0.9251016535646516,0.9235294117647059,0.9238709999427845,170.0
