,precision,recall,f1-score,support
Basal-like,1.0,0.9310344827586207,0.9642857142857143,29.0
HER2-enriched,0.9166666666666666,0.8461538461538461,0.88,13.0
Luminal A,0.9146341463414634,0.9615384615384616,0.9375,78.0
Luminal B,0.8,0.7741935483870968,0.7868852459016393,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9171597633136095,0.9171597633136095,0.9171597633136095,0.9171597633136095
macro avg,0.9262601626016259,0.9025840677676051,0.9137341920374707,169.0
weighted avg,0.9175037282917208,0.9171597633136095,0.9167025345398613,169.0
