,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,1.0,0.7692307692307693,0.8695652173913043,13.0
Luminal A,0.9135802469135802,0.961038961038961,0.9367088607594937,77.0
Luminal B,0.8666666666666667,0.8125,0.8387096774193549,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9294117647058824,0.9294117647058824,0.9294117647058824,0.9294117647058824
macro avg,0.9495977698128236,0.9085539460539461,0.9257180625894404,170.0
weighted avg,0.9300662965305595,0.9294117647058824,0.92810492060764,170.0
