,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,29.0
HER2-enriched,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Luminal A,0.95,0.9743589743589743,0.9620253164556962,78.0
Luminal B,0.9310344827586207,0.8709677419354839,0.9,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9585798816568047,0.9585798816568047,0.9585798816568047,0.9585798816568047
macro avg,0.9608222811671088,0.9536807278742764,0.957020447906524,169.0
weighted avg,0.9583554376657825,0.9585798816568047,0.9582128679499663,169.0
