,precision,recall,f1-score,support
Basal-like,0.6585365853658537,0.43548387096774194,0.5242718446601942,62.0
HER2-enriched,0.0,0.0,0.0,29.0
Luminal A,0.626984126984127,0.9634146341463414,0.7596153846153846,164.0
Luminal B,0.5,0.20833333333333334,0.29411764705882354,72.0
Solid Tissue Normal,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
accuracy,0.644808743169399,0.644808743169399,0.644808743169399,0.644808743169399
macro avg,0.5465778266805225,0.5060617523048679,0.5026139622798674,366.0
weighted avg,0.5918088348063726,0.644808743169399,0.5866824603869477,366.0
