,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.9166666666666666,0.8461538461538461,0.88,13.0
Luminal A,0.9493670886075949,0.974025974025974,0.9615384615384616,77.0
Luminal B,0.9,0.84375,0.8709677419354839,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9470588235294117,0.9470588235294117,0.9470588235294117,0.9470588235294117
macro avg,0.9467551381516266,0.9327859640359641,0.939222552170199,170.0
weighted avg,0.9461775914939272,0.9470588235294117,0.9462213294218147,170.0
