,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,30.0
HER2-enriched,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Luminal A,0.935064935064935,0.935064935064935,0.935064935064935,77.0
Luminal B,0.84375,0.84375,0.84375,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9352941176470588,0.9352941176470588,0.9352941176470588,0.9352941176470588
macro avg,0.9403783716283716,0.9403783716283716,0.9403783716283716,170.0
weighted avg,0.9352941176470588,0.9352941176470588,0.9352941176470588,170.0
