,precision,recall,f1-score,support
Basal-like,1.0,0.9666666666666667,0.9830508474576272,30.0
HER2-enriched,0.8461538461538461,0.9166666666666666,0.88,12.0
Luminal A,0.9367088607594937,0.9487179487179487,0.9426751592356688,78.0
Luminal B,0.8709677419354839,0.84375,0.8571428571428571,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9352941176470588,0.9352941176470588,0.9352941176470588,0.9352941176470588
macro avg,0.9307660897697648,0.9351602564102564,0.9325737727672305,170.0
weighted avg,0.9358123825589538,0.9352941176470588,0.9353456427804847,170.0
