,precision,recall,f1-score,support
Basal-like,1.0,0.9310344827586207,0.9642857142857143,29.0
HER2-enriched,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Luminal A,0.9125,0.9358974358974359,0.9240506329113924,78.0
Luminal B,0.7272727272727273,0.7741935483870968,0.75,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.8994082840236687,0.8994082840236687,0.8994082840236687,0.8994082840236687
macro avg,0.9097727272727273,0.8820712472547845,0.894333936106088,169.0
weighted avg,0.9025954814416354,0.8994082840236687,0.9001394580751934,169.0
