,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,29.0
HER2-enriched,1.0,0.8461538461538461,0.9166666666666666,13.0
Luminal A,0.9625,0.9871794871794872,0.9746835443037974,78.0
Luminal B,0.90625,0.9354838709677419,0.9206349206349206,31.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9644970414201184,0.9644970414201184,0.9644970414201184,0.9644970414201184
macro avg,0.9737500000000001,0.942652329749104,0.9566827406067911,169.0
weighted avg,0.9654955621301774,0.9644970414201184,0.9643040233595248,169.0
