fold,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,final,N/A,N/A,N/A,0.9470588235294117,0.9464902369848399
2,final,N/A,N/A,N/A,0.9235294117647059,0.9233068527957632
3,final,N/A,N/A,N/A,0.9411764705882353,0.9415405770699888
4,final,N/A,N/A,N/A,0.9112426035502958,0.9133155682929438
5,final,N/A,N/A,N/A,0.9526627218934911,0.9529204901473398
