,importance
f1945,91.1830825805664
f1678,43.178165435791016
f2224,28.03582000732422
f1127,24.693559646606445
f754,20.344432830810547
f2200,18.658382415771484
f3929,18.47579002380371
f658,16.723873138427734
f1741,14.263090133666992
f1052,13.995817184448242
f2754,12.703474998474121
f829,12.208436965942383
f2059,10.715339660644531
f2821,10.187766075134277
f776,9.16728687286377
f1553,8.430007934570312
f4030,8.328920364379883
f1205,8.250904083251953
f326,7.7599568367004395
f3796,7.7094292640686035
