epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,N/A,N/A,N/A,0.6185286103542235,0.5605841359066838
2,N/A,N/A,N/A,0.6267029972752044,0.5630593029776215
3,N/A,N/A,N/A,0.6502732240437158,0.5945312064937782
4,N/A,N/A,N/A,0.5737704918032787,0.5148838488443575
5,N/A,N/A,N/A,0.644808743169399,0.5866824603869477
