,precision,recall,f1-score,support
Basal-like,0.639344262295082,0.6290322580645161,0.6341463414634146,62.0
HER2-enriched,0.12903225806451613,0.13793103448275862,0.13333333333333333,29.0
Luminal A,0.7222222222222222,0.7090909090909091,0.7155963302752294,165.0
Luminal B,0.35064935064935066,0.3698630136986301,0.36,73.0
Solid Tissue Normal,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0
accuracy,0.6049046321525886,0.6049046321525886,0.6049046321525886,0.6049046321525886
macro avg,0.5626940630906787,0.5533939693831522,0.5578043902035847,367.0
weighted avg,0.6133236878874108,0.6049046321525886,0.608945722830401,367.0
