,precision,recall,f1-score,support
Basal-like,0.6086956521739131,0.8888888888888888,0.7225806451612903,63.0
HER2-enriched,0.2647058823529412,0.3103448275862069,0.28571428571428575,29.0
Luminal A,0.8092105263157895,0.75,0.778481012658228,164.0
Luminal B,0.5098039215686274,0.3561643835616438,0.4193548387096774,73.0
Solid Tissue Normal,1.0,1.0,1.0,38.0
accuracy,0.6866485013623979,0.6866485013623979,0.6866485013623979,0.6866485013623979
macro avg,0.6384831964822542,0.6610796200073479,0.6412261564486963,367.0
weighted avg,0.6919632405054253,0.6866485013623979,0.6814498207973608,367.0
