,precision,recall,f1-score,support
Basal-like,0.5970149253731343,0.6349206349206349,0.6153846153846153,63.0
HER2-enriched,0.2619047619047619,0.3793103448275862,0.30985915492957744,29.0
Luminal A,0.7843137254901961,0.7272727272727273,0.7547169811320754,165.0
Luminal B,0.5,0.4583333333333333,0.4782608695652174,72.0
Solid Tissue Normal,0.9743589743589743,1.0,0.9870129870129869,38.0
accuracy,0.659400544959128,0.659400544959128,0.659400544959128,0.659400544959128
macro avg,0.6235184774254133,0.6399674080708564,0.6290469216048945,367.0
weighted avg,0.6747808831751196,0.659400544959128,0.6654624639350684,367.0
