,precision,recall,f1-score,support
Basal-like,0.5584415584415584,0.6935483870967742,0.6187050359712231,62.0
HER2-enriched,0.34146341463414637,0.4827586206896552,0.4000000000000001,29.0
Luminal A,0.7464788732394366,0.6424242424242425,0.6905537459283387,165.0
Luminal B,0.4057971014492754,0.3888888888888889,0.3971631205673759,72.0
Solid Tissue Normal,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
accuracy,0.6212534059945504,0.6212534059945504,0.6212534059945504,0.6212534059945504
macro avg,0.6051730316581465,0.6312676175635019,0.6134921727011797,367.0
weighted avg,0.640016090591684,0.6212534059945504,0.6266412655851833,367.0
