,precision,recall,f1-score,support
Basal-like,0.5507246376811594,0.6129032258064516,0.5801526717557252,62.0
HER2-enriched,0.1935483870967742,0.20689655172413793,0.19999999999999998,29.0
Luminal A,0.7662337662337663,0.7151515151515152,0.7398119122257054,165.0
Luminal B,0.3698630136986301,0.375,0.3724137931034483,72.0
Solid Tissue Normal,0.95,0.9743589743589743,0.9620253164556962,39.0
accuracy,0.6185286103542235,0.6185286103542235,0.6185286103542235,0.6185286103542235
macro avg,0.566073960942066,0.5768620534082158,0.5708807387081151,367.0
weighted avg,0.6263393438062974,0.6185286103542235,0.6217199226466397,367.0
