,precision,recall,f1-score,support
Basal-like,0.5301204819277109,0.7096774193548387,0.6068965517241379,62.0
HER2-enriched,0.09375,0.10344827586206896,0.09836065573770493,29.0
Luminal A,0.7672955974842768,0.7393939393939394,0.7530864197530864,165.0
Luminal B,0.4074074074074074,0.3055555555555556,0.3492063492063492,72.0
Solid Tissue Normal,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
accuracy,0.6212534059945504,0.6212534059945504,0.6212534059945504,0.6212534059945504
macro avg,0.5494582871074687,0.5613586277768703,0.5512535850278454,367.0
weighted avg,0.6226793645715452,0.6212534059945504,0.6182075248648676,367.0
