,precision,recall,f1-score,support
Basal-like,0.6190476190476191,0.41935483870967744,0.5,62.0
HER2-enriched,0.5,0.1724137931034483,0.2564102564102564,29.0
Luminal A,0.6330645161290323,0.9515151515151515,0.7602905569007264,165.0
Luminal B,0.4782608695652174,0.15492957746478872,0.23404255319148937,71.0
Solid Tissue Normal,0.9069767441860465,1.0,0.9512195121951219,39.0
accuracy,0.6502732240437158,0.6502732240437158,0.6502732240437158,0.6502732240437158
macro avg,0.627469949785583,0.5396426721586132,0.5403925757395187,366.0
weighted avg,0.6193038587558168,0.6502732240437158,0.5945312064937782,366.0
