,precision,recall,f1-score,support
Basal-like,0.3695652173913043,0.27419354838709675,0.3148148148148148,62.0
HER2-enriched,0.14285714285714285,0.034482758620689655,0.05555555555555555,29.0
Luminal A,0.5877551020408164,0.8727272727272727,0.7024390243902439,165.0
Luminal B,0.32142857142857145,0.1267605633802817,0.18181818181818182,71.0
Solid Tissue Normal,0.975,1.0,0.9873417721518988,39.0
accuracy,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
macro avg,0.479321206743567,0.4616328286230681,0.44839386974613904,366.0
weighted avg,0.5051418607357413,0.5737704918032787,0.5148838488443575,366.0
