,precision,recall,f1-score,support
Basal-like,0.5652173913043478,0.4126984126984127,0.47706422018348627,63.0
HER2-enriched,0.18181818181818182,0.06896551724137931,0.1,29.0
Luminal A,0.6260162601626016,0.9333333333333333,0.7493917274939172,165.0
Luminal B,0.2962962962962963,0.1111111111111111,0.16161616161616163,72.0
Solid Tissue Normal,1.0,0.9736842105263158,0.9866666666666667,38.0
accuracy,0.6185286103542235,0.6185286103542235,0.6185286103542235,0.6185286103542235
macro avg,0.5338696259162855,0.49995851698211047,0.4949477551920463,367.0
weighted avg,0.5545161830655689,0.6185286103542235,0.5605841359066838,367.0
