,precision,recall,f1-score,support
Basal-like,0.5869565217391305,0.42857142857142855,0.4954128440366973,63.0
HER2-enriched,0.4,0.06896551724137931,0.11764705882352941,29.0
Luminal A,0.5992217898832685,0.9333333333333333,0.7298578199052133,165.0
Luminal B,0.45,0.125,0.1956521739130435,72.0
Solid Tissue Normal,0.9743589743589743,1.0,0.987012987012987,38.0
accuracy,0.6267029972752044,0.6267029972752044,0.6267029972752044,0.6267029972752044
macro avg,0.6021074571962747,0.5111740558292283,0.505116576738294,367.0
weighted avg,0.5909414093350015,0.6267029972752044,0.5630593029776215,367.0
