fold,accuracy,f1_score
1,0.9294117647058824,0.9284811942945707
2,0.9294117647058824,0.92810492060764
3,0.9235294117647059,0.9238709999427845
4,0.9171597633136095,0.9167025345398613
5,0.9585798816568047,0.9582128679499663
