,precision,recall,f1-score,support
Basal-like,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
HER2-enriched,0.8461538461538461,0.9166666666666666,0.88,12.0
Luminal A,0.9605263157894737,0.9358974358974359,0.948051948051948,78.0
Luminal B,0.8787878787878788,0.90625,0.8923076923076924,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
macro avg,0.9304269414795729,0.9450961538461538,0.9374052614052614,170.0
weighted avg,0.9423300641566895,0.9411764705882353,0.9415405770699888,170.0
