,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,29.0
HER2-enriched,1.0,0.9230769230769231,0.96,13.0
Luminal A,0.9493670886075949,0.9615384615384616,0.9554140127388535,78.0
Luminal B,0.875,0.9032258064516129,0.8888888888888888,31.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9526627218934911,0.9526627218934911,0.9526627218934911,0.9526627218934911
macro avg,0.9648734177215189,0.9464571271022884,0.9551462946112628,169.0
weighted avg,0.9537019698898959,0.9526627218934911,0.9529204901473398,169.0
