,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
Luminal A,0.935064935064935,0.935064935064935,0.935064935064935,77.0
Luminal B,0.8387096774193549,0.8125,0.8253968253968254,32.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9235294117647059,0.9235294117647059,0.9235294117647059,0.9235294117647059
macro avg,0.9197318810222036,0.9230172605172605,0.9208771556312539,170.0
weighted avg,0.9236107346164272,0.9235294117647059,0.9233068527957632,170.0
