,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Luminal A,0.9493670886075949,0.974025974025974,0.9615384615384616,77.0
Luminal B,0.9,0.84375,0.8709677419354839,32.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9470588235294117,0.9470588235294117,0.9470588235294117,0.9470588235294117
macro avg,0.9480371894336777,0.9370594683094684,0.9421236510712978,170.0
weighted avg,0.9466677875723585,0.9470588235294117,0.9464902369848399,170.0
