,precision,recall,f1-score,support
Basal-like,1.0,0.9310344827586207,0.9642857142857143,29.0
HER2-enriched,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
Luminal A,0.9473684210526315,0.9230769230769231,0.935064935064935,78.0
Luminal B,0.7297297297297297,0.8709677419354839,0.7941176470588235,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9112426035502958,0.9112426035502958,0.9112426035502958,0.9112426035502958
macro avg,0.917237811974654,0.8988619834003593,0.9053603259485612,169.0
weighted avg,0.9191392916089272,0.9112426035502958,0.9133155682929438,169.0
