fold,accuracy,f1_score
1,0.6212534059945504,0.6182075248648676
2,0.6185286103542235,0.6217199226466397
3,0.6212534059945504,0.6266412655851833
4,0.659400544959128,0.6654624639350684
5,0.6866485013623979,0.6814498207973608
