rank,feature_index,importance
1,900,0.03839817
2,992,0.023335643
3,712,0.019912785
4,1001,0.017842175
5,466,0.00886801
6,452,0.008704918
7,956,0.006693187
8,460,0.0065455413
9,412,0.0064001097
10,75,0.0061803805
11,575,0.006145053
12,472,0.005961096
13,896,0.0047624637
14,86,0.004221405
15,514,0.0041300682
16,338,0.0039903168
17,741,0.0037211946
18,105,0.0035756237
19,766,0.0035720062
20,626,0.0035193705
