,precision,recall,f1-score,support
Basal-like,0.5918367346938775,0.5576923076923077,0.5742574257425742,104.0
HER2-enriched,0.45454545454545453,0.20833333333333334,0.2857142857142857,48.0
Luminal A,0.6745562130177515,0.8290909090909091,0.7438825448613376,275.0
Luminal B,0.3977272727272727,0.29411764705882354,0.33816425120772947,119.0
Solid Tissue Normal,0.9846153846153847,0.9846153846153847,0.9846153846153847,65.0
accuracy,0.646481178396072,0.646481178396072,0.646481178396072,0.646481178396072
macro avg,0.6206562119199482,0.5747699163581517,0.5853267784282623,611.0
weighted avg,0.6222613850421803,0.646481178396072,0.6256076983995108,611.0
