,precision,recall,f1-score,support
Basal-like,0.5588235294117647,0.5480769230769231,0.5533980582524272,104.0
HER2-enriched,0.43478260869565216,0.20833333333333334,0.28169014084507044,48.0
Luminal A,0.693939393939394,0.8357664233576643,0.7582781456953642,274.0
Luminal B,0.34831460674157305,0.25833333333333336,0.2966507177033493,120.0
Solid Tissue Normal,0.9393939393939394,0.96875,0.9538461538461539,64.0
accuracy,0.6377049180327868,0.6377049180327868,0.6377049180327868,0.6377049180327868
macro avg,0.5950508156364647,0.5638520026202508,0.568772643268473,610.0
weighted avg,0.6082714281078847,0.6377049180327868,0.6155524208359039,610.0
