,precision,recall,f1-score,support
Basal-like,0.5217391304347826,0.46153846153846156,0.4897959183673469,104.0
HER2-enriched,0.4375,0.14285714285714285,0.2153846153846154,49.0
Luminal A,0.6832844574780058,0.8472727272727273,0.7564935064935064,275.0
Luminal B,0.37777777777777777,0.2857142857142857,0.3253588516746411,119.0
Solid Tissue Normal,0.875,0.984375,0.9264705882352942,64.0
accuracy,0.630114566284779,0.630114566284779,0.630114566284779,0.630114566284779
macro avg,0.5790602731381133,0.5443515234765235,0.5427006960310807,611.0
weighted avg,0.596656548162397,0.630114566284779,0.6015387184060649,611.0
