fold,accuracy,f1_weighted
1,0.6049046321525886,0.608945722830401
2,0.6103542234332425,0.6165579152334576
3,0.6376021798365122,0.6464880296249526
4,0.6267029972752044,0.6311437536884427
5,0.5858310626702997,0.5873226534756636
