,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,29.0
HER2-enriched,1.0,0.8461538461538461,0.9166666666666666,13.0
Luminal A,0.9166666666666666,0.9871794871794872,0.9506172839506173,78.0
Luminal B,0.9285714285714286,0.8387096774193549,0.8813559322033898,31.0
Solid Tissue Normal,1.0,0.9444444444444444,0.9714285714285714,18.0
accuracy,0.9467455621301775,0.9467455621301775,0.9467455621301775,0.9467455621301775
macro avg,0.9690476190476189,0.9232974910394265,0.944013690849849,169.0
weighted avg,0.9484361792054099,0.9467455621301775,0.9459914970345218,169.0
