,precision,recall,f1-score,support
Basal-like,0.967741935483871,1.0,0.9836065573770492,30.0
HER2-enriched,0.9166666666666666,0.8461538461538461,0.88,13.0
Luminal A,0.9615384615384616,0.974025974025974,0.967741935483871,77.0
Luminal B,0.9032258064516129,0.875,0.8888888888888888,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9529411764705882,0.9529411764705882,0.9529411764705882,0.9529411764705882
macro avg,0.9498345740281223,0.9390359640359641,0.9440474763499619,170.0
weighted avg,0.952297718094682,0.9529411764705882,0.9524045305765529,170.0
