,precision,recall,f1-score,support
Basal-like,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
HER2-enriched,0.8181818181818182,0.75,0.782608695652174,12.0
Luminal A,0.925,0.9487179487179487,0.9367088607594937,78.0
Luminal B,0.8666666666666667,0.8125,0.8387096774193549,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9176470588235294,0.9176470588235294,0.9176470588235294,0.9176470588235294
macro avg,0.9090664711632452,0.8955769230769232,0.9017693811924341,170.0
weighted avg,0.916270772238514,0.9176470588235294,0.916575854873061,170.0
