,precision,recall,f1-score,support
Basal-like,1.0,0.9655172413793104,0.9824561403508771,29.0
HER2-enriched,1.0,0.8461538461538461,0.9166666666666666,13.0
Luminal A,0.9240506329113924,0.9358974358974359,0.9299363057324841,78.0
Luminal B,0.7575757575757576,0.8064516129032258,0.78125,31.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9171597633136095,0.9171597633136095,0.9171597633136095,0.9171597633136095
macro avg,0.9363252780974299,0.9108040272667637,0.9220618225500056,169.0
weighted avg,0.9204780937984443,0.9171597633136095,0.9181164294909814,169.0
