,precision,recall,f1-score,support
Basal-like,1.0,1.0,1.0,30.0
HER2-enriched,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
Luminal A,0.922077922077922,0.922077922077922,0.922077922077922,77.0
Luminal B,0.8064516129032258,0.78125,0.7936507936507936,32.0
Solid Tissue Normal,1.0,1.0,1.0,18.0
accuracy,0.9176470588235294,0.9176470588235294,0.9176470588235294,0.9176470588235294
macro avg,0.917134478424801,0.9252809690309689,0.9209235209235208,170.0
weighted avg,0.9173488750338845,0.9176470588235294,0.9173669467787116,170.0
