,precision,recall,f1-score,support
Basal-like,0.5507246376811594,0.6031746031746031,0.5757575757575758,63.0
HER2-enriched,0.24324324324324326,0.3103448275862069,0.2727272727272727,29.0
Luminal A,0.7615894039735099,0.696969696969697,0.7278481012658228,165.0
Luminal B,0.3611111111111111,0.3611111111111111,0.3611111111111111,72.0
Solid Tissue Normal,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0
accuracy,0.6103542234332425,0.6103542234332425,0.6103542234332425,0.6103542234332425
macro avg,0.5728073634123311,0.58379373197885,0.5769624963828828,367.0
weighted avg,0.6251007026800988,0.6103542234332425,0.6165579152334576,367.0
