,precision,recall,f1-score,support
Basal-like,0.59375,0.6129032258064516,0.6031746031746031,62.0
HER2-enriched,0.2608695652173913,0.20689655172413793,0.23076923076923078,29.0
Luminal A,0.7651006711409396,0.6909090909090909,0.7261146496815286,165.0
Luminal B,0.3804347826086957,0.4861111111111111,0.4268292682926829,72.0
Solid Tissue Normal,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
accuracy,0.6267029972752044,0.6267029972752044,0.6267029972752044,0.6267029972752044
macro avg,0.5897745935369951,0.589107585653748,0.5871211401271988,367.0
weighted avg,0.6403559468048651,0.6267029972752044,0.6311437536884427,367.0
