,precision,recall,f1-score,support
Basal-like,0.5492957746478874,0.6290322580645161,0.5864661654135338,62.0
HER2-enriched,0.2916666666666667,0.2413793103448276,0.2641509433962264,29.0
Luminal A,0.7183098591549296,0.6181818181818182,0.6644951140065146,165.0
Luminal B,0.3411764705882353,0.4027777777777778,0.36942675159235666,72.0
Solid Tissue Normal,0.8444444444444444,0.9743589743589743,0.9047619047619048,39.0
accuracy,0.5858310626702997,0.5858310626702997,0.5858310626702997,0.5858310626702997
macro avg,0.5489786431004327,0.5731460277455829,0.5578601758341073,367.0
weighted avg,0.5954600472418311,0.5858310626702997,0.5873226534756636,367.0
