,precision,recall,f1-score,support
Basal-like,0.609375,0.6190476190476191,0.6141732283464567,63.0
HER2-enriched,0.2682926829268293,0.3793103448275862,0.3142857142857143,29.0
Luminal A,0.773972602739726,0.6890243902439024,0.7290322580645161,164.0
Luminal B,0.42857142857142855,0.4583333333333333,0.4429530201342282,72.0
Solid Tissue Normal,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
accuracy,0.6376021798365122,0.6376021798365122,0.6376021798365122,0.6376021798365122
macro avg,0.6109141377193916,0.6240149323622831,0.6149606390379779,367.0
weighted avg,0.6592909060254386,0.6376021798365122,0.6464880296249526,367.0
